ID,URL,Is lighting product?,Extracted_Content
min 10 pulses 
Carrier frequency f0 
OUT 
IN 
Vs 
GND 
Input 
CGA & filter 
Demodulator 
Oscillator 
AGC1
ATC & digital control 
µC 
　
Ver.:1     Release Date:09/19/2008      狀態:Approved(正式發行)
EVERLIGHT ELECTRONICS CO.,LTD. 
  Everlight Electronics Co., Ltd.          http:\\www.everlight.com             Rev 1       Page: 5 of 10 
  Device No：SZDMO-037-031         Prepared date：31-August-2007           Prepared by： Liuyan 
Carrier frequency is adjusted to 
center frequency of each product.
IR TANSMITTER 
OUTPUT WAVE FORM
OUTPUT PULSE 
OF DEVICE
Standard Transmitter
Oscilloscope
Vout
10uF
+5.0± 0.1V
10k
20cm
100k
θ
θ
D.U.T
L: Transmission Distance
Standard Transmitter
GND
Vcc
OUT
Vout
θ: Angle Of Horizontal & Vertical Direction
 
IRM-37xxT SERIES 
 
Application Circuit： 
 
 
 
 
 
 
 
 
 
 
          RC Filter should be connected closely between Vcc pin and GND pin. 
 
 
 
 
  Fig.-1  Transmitter Wave Form                         D.U.T output Pulse 
 
 
 
 
 
 
 
 
 
 
                                            
 
 
 
 
 
  Fig.-2  Measuring Method                      Fig.-3    Measuring System 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Duty=0.5 
　
Ver.:1     Release Date:09/19/2008      狀態:Approved(正式發行)
EVERLIGHT ELECTRONICS CO.,LTD. 
  Everlight Electronics Co., Ltd.          http:\\www.everlight.com             Rev 1       Page: 6 of 10 
  Device No：SZDMO-037-031         Prepared date：31-August-2007           Prepared by： Liuyan 
 
IRM-37xxT SERIES 
The Notice of Application: 
Transmission of remote control signal consist of four parts: Encode Part, IR Transmitter Source, 
IRM device, Decode Part 
 
1. When IRM-37xxT SERIES code select frequency, it need to well understand the center system of 
encode part. 
2. Strong or weak light of IR Transmitter can affect distance of transmission. 
3. When using IRM-37xxT SERIES device, it requires the composition of code pattern to reach the 
demand as follows:    
Minimum tburst 
( number of pulses per burst) 
Minimum tburst_gap 
( number of pulses 
between two burst) 
Minimum tpause 
10 pulses 
14 pulses 
25 msec 
 
4. It needs to ensure the translation range of decode part if it is applied to the pulse-width range. 
 
If the above items hardly assure of its application, it’ll cause NG(no good) message from the edge 
of signal. 
 
IRM-37xxT SERIES Code Property: 
Data format 
 
Data format 
 
NEC 
O 
Sony 12 Bit 
O 
RC5 _ Philips 
O 
Sony 15 Bit 
X 
RC6 _ Philips 
O 
Sony 20 Bit 
X 
RCA _ Thomson 
X 
Matsushita 
O 
Toshiba 
O 
Mitsubishi 
O 
Sharp 
O 
Zenith 
O 
JVC 
O 
High data rate  
 (4000 bit1
s) 
X 
　
Ver.:1     Release Date:09/19/2008      狀態:Approved(正式發行)
EVERLIGHT ELECTRONICS CO.,LTD. 
  Everlight Electronics Co., Ltd.          http:\\www.everlight.com             Rev 1       Page: 7 of 10 
  Device No：SZDMO-037-031         Prepared date：31-August-2007           Prepared by： Liuyan 
  
IRM-37xxT SERIES 
Typical Electro-Optical Characteristics Curves 
 
Fig.-4 Relative Spectral Sensitivity vs. 
Wavelength 
Fig.-5 
Relative 
Transmission 
Distance 
vs. 
Direction 
 
Angle      (deg)
-20
Relative Transmission Distance (%)
-60
0
80
40
20
60
-40
0
20
60
40
Fig.-6 Output Pulse Length vs. Arrival Distance Fig.-7 Arrival Distance vs. Supply Voltage 
16
Transmission Distance Lc (m)
2
0
10
6
4
8
12
14
Output Pulse Width TWL (μsec)
 
 
 
 
Transmission Distance Lc (m)
3.8
Supply Voltage Vcc (V)
2.7
0
3.3
3.0
3.5
4.4
4.1
4.7
5.0 5.3
5.5
17.5
10.5
7.0
3.5
　
Ver.:1     Release Date:09/19/2008      狀態:Approved(正式發行)
EVERLIGHT ELECTRONICS CO.,LTD. 
  Everlight Electronics Co., Ltd.          http:\\www.everlight.com             Rev 1       Page: 8 of 10 
  Device No：SZDMO-037-031         Prepared date：31-August-2007           Prepared by： Liuyan 
Relative Transmission Distance (%)
Center Carrier Frequency  (kHz)
Relative Transmission Distance (%)
Center Carrier Frequency  (kHz)
 
IRM-37xxT SERIES 
 
Typical Electro-Optical Characteristics Curves 
Fig.-8 Relative Transmission Distance vs. Center Carrier Frequency 
 
                IRM-3736T                               IRM-3738T 
                   
 
 
                 IRM-3740T                               IRM-3756T 
                                              
 
 
 
 
 
 
　
Ver.:1     Release Date:09/19/2008      狀態:Approved(正式發行)
EVERLIGHT ELECTRONICS CO.,LTD. 
  Everlight Electronics Co., Ltd.          http:\\www.everlight.com             Rev 1       Page: 9 of 10 
  Device No：SZDMO-037-031         Prepared date：31-August-2007           Prepared by： Liuyan 
Ambient Temperature Ta (°C)
7.0
3.5
14.0
10.5
17.5
Transmission Distance Lc (m)
 
IRM-37xxT SERIES 
Typical Electro-Optical Characteristics Curves 
Fig.-9 Arrival Distance vs. Ambient Temperature 
 
 
 
 
 
 
 
 
 
 
 
Reliability Test Item And Condition 
 The reliability of products shall be satisfied with items listed below. 
 Confidence level：90% 
 LTPD：10% 
Test Items 
Test Conditions 
Failure Judgement 
Criteria 
Samples(n)
Defective(c)
Temperature cycle 
1 cycle  -40℃       +100℃ 
       (15min)(5min)(15min) 
300 cycle test 
L0≦ L×0.8 
L45≦ L×0.8 
 
 
L: Lower 
specification limit 
 n=22,c=0 
High temperature test 
Temp: +100℃ 
Vcc:6V 
1000hrs 
 n=22,c=0 
Low temperature 
storage 
Temp: -40℃ 
1000hrs 
 n=22,c=0 
High temperature 
High humidity 
Ta: 85℃,RH:85% 
1000hrs 
 n=22,c=0 
Solder heat 
Temp: 260±5℃ 10sec 
4mm From the bottom of the package. 
 n=22,c=0 
　
Ver.:1     Release Date:09/19/2008      狀態:Approved(正式發行)
EVERLIGHT ELECTRONICS CO.,LTD. 
  Everlight Electronics Co., Ltd.          http:\\www.everlight.com             Rev 1       Page: 10 of 10 
  Device No：SZDMO-037-031         Prepared date：31-August-2007           Prepared by： Liuyan 
 
IRM-37xxT SERIES 
 
Packing Quantity Specification 
1. 1500 PCS1
1Box 
2. 10 Boxes1
1Carton 
 
Label Form Specification 
 
CPN: Customer’s Production Number 
P1
N : Production Number 
QTY: Packing Quantity 
CAT: Ranks 
HUE: None 
REF: Reference 
LOT No: Lot Number 
MADE IN TAIWAN: Production Place  
 
 
Notes 
1. Above specification may be changed without notice. EVERLIGHT will reserve authority on 
material change for above specification. 
2. When using this product, please observe the absolute maximum ratings and the instructions 
for using outlined in these specification sheets. EVERLIGHT assumes no responsibility for 
any damage resulting from use of the product which does not comply with the absolute  
maximum ratings and the instructions included in these specification sheets. 
3. These specification sheets include materials protected under copyright of EVERLIGHT 
corporation. Please don’t reproduce or cause anyone to reproduce them without 
EVERLIGHT’s consent. 
 
 
 
IRM-37xxT 
EVERLIGHT ELECTRONICS CO., LTD.  
 
 
Tel: 886-2-2267-2000, 2267-9936 
Office: No 25, Lane 76, Sec 3, Chung Yang Rd,    
Fax: 886-2267-6244, 2267-6189, 2267-6306 
      Tucheng, Taipei 236, Taiwan, R.O.C  
 
 
http:\\www.everlight.com 
　
Ver.:1     Release Date:09/19/2008      狀態:Approved(正式發行)
"
P-13,https://en.everlight.com/wp-content/plugins/ItemRelationship/product_files/pdf/1003SUBD-S400-A6.pdf,Yes," 
1  
Copyright © 2010, Everlight All Rights Reserved. Release Date :Sep.27. 2018 Issue No: DLE-0003884_Rev.4 
www.everlight.com 
 
 
 
 LAMP 
1003SUBD/S400-A6 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Features 
• Choice of various viewing angles 
• Available on tape and reel. 
• Reliable and robust 
• Pb free 
• The product itself will remain within RoHS compliant version. 
 
Description 
•The series is specially designed for applications requiring higher brightness 
•The led lamps are available with different colors, intensities.. 
 
Applications 
• TV set 
• Monitor 
• Telephone 
• Computer 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
　
Ver.:4     Release Date:10/05/2018      狀態:Approved(正式發行)
DATASHEET 
LAMP 
1003SUBD/S400-A6 
 
 
 
2  
Copyright © 2010, Everlight All Rights Reserved. Release Date : Sep.27. 2018 Issue No: DLE-0003884_Rev.4 
www.everlight.com 
 
 
Device Selection Guide 
 
 
Chip 
Materials 
Emitted Color 
Resin Color 
InGaN 
Blue 
Blue Diffused 
 
 
 
 
Absolute Maximum Ratings (Ta=25℃) 
 
 
Parameter 
Symbol 
Rating 
Unit 
Continuous Forward Current 
IF 
25 
mA 
Peak Forward Current (Duty 1/10 @ 1KHZ) 
IFP 
100 
mA 
Reverse Voltage 
VR 
5 
V 
Power Dissipation 
Pd 
90 
mW 
Operating Temperature 
Topr 
-40 ~ +85 
℃ 
Storage Temperature 
Tstg 
-40 ~ +100 
℃ 
Soldering Temperature 
Tsol 
260 ℃ for 5 sec. 
 
 
 
 
 
Electro-Optical Characteristics (Ta=25℃) 
 
 
Parameter 
Symbol 
Min. 
Typ. 
Max. 
Unit 
Condition 
Luminous Intensity 
Iv 
10 
20 
----- 
mcd 
IF=20mA 
Viewing Angle 
2θ1/2 
----- 
110 
----- 
deg 
IF=20mA 
Peak Wavelength 
λp 
----- 
468 
----- 
nm 
IF=20mA 
Dominant Wavelength 
λd 
----- 
470 
----- 
nm 
IF=20mA 
Spectrum Radiation Bandwidth 
Δλ 
----- 
35 
----- 
nm 
IF=20mA 
Forward Voltage 
VF 
2.7 
3.3 
4.0 
V 
IF=20mA 
Reverse Current 
IR 
----- 
----- 
50 
μA 
VR=5V 
 
 
 
 
 
Note:  
 
*Measurement Uncertainty of Forward Voltage: ±0.1V 
 
*Measurement Uncertainty of Luminous Intensity: ±10% 
*Measurement Uncertainty of Dominant Wavelength ±1.0nm 
　
Ver.:4     Release Date:10/05/2018      狀態:Approved(正式發行)
DATASHEET 
LAMP 
1003SUBD/S400-A6 
 
 
 
3  
Copyright © 2010, Everlight All Rights Reserved. Release Date : Sep.27. 2018 Issue No: DLE-0003884_Rev.4 
www.everlight.com 
 
 Typical Electro-Optical Characteristics Curves 
 
 
 
Relative Intensity vs. Wavelength (Ta=25℃) 
Directivity (Ta=25℃) 
 
Relative Intensity (a.u.) 
 
Radiation Angle 
 
 
 
Wavelength (nm) 
 
Relative Intensity (a.u.) 
 
 
Forward Current vs. Forward Voltage (Ta=25℃) 
Relative Intensity vs. Forward Current (Ta=25℃) 
 
Forward Current (mA) 
1.5
2.0
2.5
3.0
3.5
4.0
4.5
0
5
10
15
20
25
 
 
Forward Current(mA)
Forward Voltage(V)
 
 
Relative Intensity(a.u.) 
0
5
10
15
20
25
0.0
0.5
1.0
1.5
 
 
 
  
Forward Voltage (V) 
 
Forward Current (mA) 
 
 
Relative Intensity vs. Ambient Temp. 
Forward Current vs. Ambient Temp. 
 
Relative Intensity(a.u.) 
25
30
35
40
45
50
55
60
65
70
0.0
0.5
1.0
1.5
2.0
 
 
 
Forward Current (mA) 
0
20
40
60
80
100
0
10
20
30
40
 
 
 
  
Ambient Temperature Ta(℃) 
 
Ambient Temperature Ta(℃) 
 
 
　
Ver.:4     Release Date:10/05/2018      狀態:Approved(正式發行)
DATASHEET 
LAMP 
1003SUBD/S400-A6 
 
 
 
4  
Copyright © 2010, Everlight All Rights Reserved. Release Date : Sep.27. 2018 Issue No: DLE-0003884_Rev.4 
www.everlight.com 
 
  Package Dimension 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Notes: 
1. All dimensions are in millimeters 
2. The height of flange must be less than 1.5mm(0.059""). 
3. Without special declared, the tolerance is ±0.25mm. 
 
 
 
　
Ver.:4     Release Date:10/05/2018      狀態:Approved(正式發行)
DATASHEET 
LAMP 
1003SUBD/S400-A6 
 
 
 
5  
Copyright © 2010, Everlight All Rights Reserved. Release Date : Sep.27. 2018 Issue No: DLE-0003884_Rev.4 
www.everlight.com 
 
Pb
EL ECTROSTATIC ELECTRONAGNETIC 
MAGNETIC OR RADIOACTIVE RELDS
anti-static for 750
 
 Moisture Resistant Packing Materials 
Label Explanation 
 
 
 
CPN: Customer's  Production Number 
P/N : Production Number 
QTY: Packing Quantity 
CAT: Ranks 
HUE: Dominant Wavelength 
REF: Reference 
LOT No: Lot Number 
 
 
 
 
 Packing Specification 
■ Anti-electrostatic bag              ■ Inner Carton                       ■ Outside Carton 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
■ Packing Quantity  
1. MIN 200 To 500 PCS/1 Bag, 5 Bags/1 Inner Carton 
2. 10 Inner Cartons/1 Outside Carton 
　
Ver.:4     Release Date:10/05/2018      狀態:Approved(正式發行)
DATASHEET 
LAMP 
1003SUBD/S400-A6 
 
 
 
6  
Copyright © 2010, Everlight All Rights Reserved. Release Date : Sep.27. 2018 Issue No: DLE-0003884_Rev.4 
www.everlight.com 
 
Prehead
laminar wave
Fluxing
 
 
Notes 
 
1. 
Lead Forming 
 
During lead formation, the leads should be bent at a point at least 3mm from the base of the epoxy bulb. 
 
Lead forming should be done before soldering. 
 
Avoid stressing the LED package during leads forming. The stress to the base may damage the LED’s characteristics or it 
may break the LEDs. 
 
Cut the LED lead frames at room temperature. Cutting the lead frames at high temperatures may cause failure of the LEDs. 
 
When mounting the LEDs onto a PCB, the PCB holes must be aligned exactly with the lead position of the LED. If the LEDs 
are mounted with stress at the leads, it causes deterioration of the epoxy resin and this will degrade the LEDs. 
2. 
Storage 
 
The LEDs should be stored at 30°C or less and 70%RH or less after being shipped from Everlight and the storage life limits 
are 3 months. If the LEDs are stored for 3 months or more, they can be stored for a year in a sealed container with a 
nitrogen atmosphere and moisture absorbent material. 
 
Please avoid rapid transitions in ambient temperature, especially, in high humidity environments where condensation can 
occur. 
3. 
Soldering 
 
Careful attention should be paid during soldering. When soldering, leave more then 3mm from solder joint to epoxy bulb, 
and soldering beyond the base of the tie bar is recommended. 
 
Recommended soldering conditions: 
Hand Soldering 
DIP Soldering 
Temp. at tip of iron 
300℃ Max. (30W Max.) 
Preheat temp. 
100℃ Max. (60 sec Max.) 
Soldering time 
3 sec Max. 
Bath temp. & time 
260 Max., 5 sec Max 
Distance 
3mm Min.(From solder 
joint to epoxy bulb) 
Distance 
3mm Min. (From solder 
joint to epoxy bulb) 
 
Recommended soldering profile 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Avoiding applying any stress to the lead frame while the LEDs are at high temperature particularly when soldering. 
 
Dip and hand soldering should not be done more than one time 
 
 
After soldering the LEDs, the epoxy bulb should be protected from mechanical shock or vibration until the LEDs return to 
room temperature. 
　
Ver.:4     Release Date:10/05/2018      狀態:Approved(正式發行)
DATASHEET 
LAMP 
1003SUBD/S400-A6 
 
 
 
7  
Copyright © 2010, Everlight All Rights Reserved. Release Date : Sep.27. 2018 Issue No: DLE-0003884_Rev.4 
www.everlight.com 
 
 
A rapid-rate process is not recommended for cooling the LEDs down from the peak temperature. 
 
Although the recommended soldering conditions are specified in the above table, dip or hand soldering at the lowest 
possible temperature is desirable for the LEDs. 
 
 
Wave soldering parameter must be set and maintain according to recommended temperature and dwell time in the solder 
wave.  
4. 
Cleaning 
 
When necessary, cleaning should occur only with isopropyl alcohol at room temperature for a duration of no more than 
one minute. Dry at room temperature before use. 
 
Do not clean the LEDs by the ultrasonic. When it is absolutely necessary, the influence of ultrasonic cleaning on the LEDs 
depends on factors such as ultrasonic power and the assembled condition. Ultrasonic cleaning shall be pre-qualified to 
